Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
4d2h,0,100,-10.8360195,0
4d3h,3.77680808,96.2231934,-0.095706,0
4d2s,0,100,-10.8360195,0
4d3s,3.77680808,96.2231934,-0.095706,0
5d2c,0,100,-9.584837,0
5d3c,0,100,-3.8917017,0
5d4c,99.999994,0.00000596,6.4130449,0
5d5c,100,0,140.479145,0
5d2d,100,0,11.244514,0.0000048
5d3d,100,0,39.4167256,0.0000048
5d4d,100,0,62.169795,0.0000048
5d2h,0,100,-9.584837,0
5d3h,0,100,-3.8917017,0
5d4h,99.999994,0.00000596,6.4130449,0
5d2s,0,100,-9.584837,0
5d3s,0,100,-3.8917017,0
5d4s,99.999994,0.00000596,6.4130449,0
6d2c,0,100,-16.4447641,0
6d3c,0,100,-7.7772093,0
6d4c,78.395015,21.604985,0.0302935,0
6d5c,100,0,5.2257156,0
6d6c,100,0,177.576189,0
6d2d,99.999994,0.00000596,9.8524475,0.0000048
6d3d,100,0,15.3222775,0.0000048
6d4d,100,0,29.2826939,0.0000048
6d5d,100,0,50.727926,0.0000048
6d2h,0,100,-16.4447641,0
6d3h,0,100,-7.7772093,0
6d4h,78.395015,21.604985,0.0302935,0
6d5h,100,0,5.2257156,0
6d2s,0,100,-16.4447641,0
6d3s,0,100,-7.7772093,0
6d4s,78.395015,21.604985,0.0302935,0
6d5s,100,0,5.2257156,0
7d2c,0,100,-21.4783955,0
7d3c,0,100,-9.1960192,0
7d4c,99.1724968,0.8275032,0.2228022,0
7d5c,100,0,5.596981,0
7d6c,100,0,15.6919479,0
7d7c,100,0,190.673513,0
7d2d,100,0,3.408041,0.0000048
7d3d,100,0,9.9354267,0.0000048
7d4d,100,0,30.1366365,0.0000048
7d5d,100,0,38.2743394,0.0000048
7d6d,100,0,64.6696675,0.0000048
7d2h,0,100,-21.4783955,0
7d3h,0,100,-9.1960192,0
7d4h,99.1724968,0.8275032,0.2228022,0
7d5h,100,0,5.596981,0
7d6h,100,0,15.6919479,0
7d2s,0,100,-21.4783955,0
7d3s,0,100,-9.1960192,0
7d4s,99.1724968,0.8275032,0.2228022,0
7d5s,100,0,5.596981,0
7d6s,100,0,15.6919479,0
8d2c,0,100,-15.4783487,0
8d3c,0,100,-10.8738708,0
8d4c,0,100,-1.5542746,0
8d5c,100,0,2.6969719,0
8d6c,99.999994,0.00000596,13.4356475,0
8d7c,100,0,27.1990442,0
8d8c,100,0,235.125961,0
8d2d,100,0,3.6322212,0.0000048
8d3d,99.999994,0.00000596,7.0043087,0.0000048
8d4d,100,0,20.1307797,0.0000048
8d5d,100,0,25.3734231,0.0000048
8d6d,100,0,50.2055187,0.0000048
8d7d,100,0,81.7946434,0.0000048
8d2h,0,100,-15.4783487,0
8d3h,0,100,-10.8738708,0
8d4h,0,100,-1.5542746,0
8d5h,100,0,2.6969719,0
8d6h,99.999994,0.00000596,13.4356475,0
8d7h,100,0,27.1990442,0
8d2s,0,100,-15.4783487,0
8d3s,0,100,-10.8738708,0
8d4s,0,100,-1.5542746,0
8d5s,100,0,2.6969719,0
8d6s,99.999994,0.00000596,13.4356475,0
8d7s,100,0,27.1990442,0
9d2c,0,100,-8.2277679,0
9d3c,0,100,-5.7227278,0
9d4c,0,100,-3.6865044,0
9d5c,94.4932938,5.50670624,0.1127768,0
9d6c,100,0,12.6843858,0
9d7c,100,0,28.975234,0
9d8c,100,0,36.3129175,0
9d9c,100,0,283.99229,0
9d2d,100,0,8.8905048,0.0000048
9d3d,100,0,17.533915,0.0000048
9d4d,100,0,12.9721856,0.0000048
9d5d,100,0,24.9430752,0.0000048
9d6d,100,0,31.5664208,0.0000048
9d7d,100,0,64.9889183,0.0000048
9d8d,100,0,93.3234406,0.0000048
9d2h,0,100,-8.2277679,0
9d3h,0,100,-5.7227278,0
9d4h,0,100,-3.6865044,0
9d5h,94.4932938,5.50670624,0.1127768,0
9d6h,100,0,12.6843858,0
9d7h,100,0,28.975234,0
9d8h,100,0,36.3129175,0
9d2s,0,100,-8.2277679,0
9d3s,0,100,-5.7227278,0
9d4s,0,100,-3.6865044,0
9d5s,94.4932938,5.50670624,0.1127768,0
9d6s,100,0,12.6843858,0
9d7s,100,0,28.975234,0
9d8s,100,0,36.3129175,0
Td2c,0,100,-5.0505924,0
Td3c,0,100,-2.1456671,0
Td4c,21.0858837,78.9141178,-0.0494719,0
Td5c,98.8170683,1.18293166,0.594306,0
Td6c,99.999994,0.00000596,11.8027735,0
Td7c,100,0,23.3962512,0
Td8c,100,0,33.8298595,0
Td9c,100,0,44.7888827,0
TdTc,100,0,382.783241,0
Td2d,100,0,15.4364562,0.0000048
Td3d,100,0,18.9479041,0.0000048
Td4d,100,0,21.2650132,0.0000048
Td5d,100,0,24.5857501,0.0000048
Td6d,100,0,41.5995169,0.0000048
Td7d,100,0,55.9206891,0.0000048
Td8d,100,0,95.3556585,0.0000048
Td9d,100,0,104.240646,0.0000048
Td2h,0,100,-5.0505924,0
Td3h,0,100,-2.1456671,0
Td4h,21.0858837,78.9141178,-0.0494719,0
Td5h,98.8170683,1.18293166,0.594306,0
Td6h,99.999994,0.00000596,11.8027735,0
Td7h,100,0,23.3962512,0
Td8h,100,0,33.8298595,0
Td9h,100,0,44.7888827,0
Td2s,0,100,-5.0505924,0
Td3s,0,100,-2.1456671,0
Td4s,21.0858837,78.9141178,-0.0494719,0
Td5s,98.8170683,1.18293166,0.594306,0
